instance_nr,opt,nbh,time,seed,makespan
J3014_1,50,swap,100,4,50
J3014_1,50,swap,100,5,50
J3014_1,50,swap,500,1,50
J3014_1,50,swap,500,2,50
J3014_1,50,swap,500,3,50
J3014_1,50,swap,500,4,50
J3014_1,50,swap,500,5,50
J3014_1,50,swap,1000,1,50
J3014_1,50,swap,1000,2,50
J3014_1,50,swap,1000,3,50
J3014_1,50,swap,1000,4,50
J3014_1,50,swap,1000,5,50
J3014_1,50,swap,5000,1,50
J3014_1,50,swap,5000,2,50
J3014_1,50,swap,5000,3,50
J3014_1,50,swap,5000,4,50
J3014_1,50,swap,5000,5,50
J3014_1,50,api,100,1,50
J3014_1,50,api,100,2,50
J3014_1,50,api,100,3,51
J3014_1,50,api,100,4,50
J3014_1,50,api,100,5,51
J3014_1,50,api,500,1,51
J3014_1,50,api,500,2,51
J3014_1,50,api,500,3,51
J3014_1,50,api,500,4,52
J3014_1,50,api,500,5,50
J3014_1,50,api,1000,1,51
J3014_1,50,api,1000,2,50
J3014_1,50,api,1000,3,50
J3014_1,50,api,1000,4,50
J3014_1,50,api,1000,5,50
J3014_1,50,api,5000,1,50
J3014_1,50,api,5000,2,50
J3014_1,50,api,5000,3,50
J3014_1,50,api,5000,4,50
J3014_1,50,api,5000,5,50
J3015_1,46,swap,100,1,46
J3015_1,46,swap,100,2,46
J3015_1,46,swap,100,3,46
J3015_1,46,swap,100,4,46
J3015_1,46,swap,100,5,46
J3015_1,46,swap,500,1,46
J3015_1,46,swap,500,2,46
J3015_1,46,swap,500,3,46
J3015_1,46,swap,500,4,46
J3015_1,46,swap,500,5,46
J3015_1,46,swap,1000,1,46
J3015_1,46,swap,1000,2,46
J3015_1,46,swap,1000,3,46
J3015_1,46,swap,1000,4,46
J3015_1,46,swap,1000,5,46
J3015_1,46,swap,5000,1,46
J3015_1,46,swap,5000,2,46
J3015_1,46,swap,5000,3,46
J3015_1,46,swap,5000,4,46
J3015_1,46,swap,5000,5,46
J3015_1,46,api,100,1,46
J3015_1,46,api,100,2,46
J3015_1,46,api,100,3,46
J3015_1,46,api,100,4,46
J3015_1,46,api,100,5,46
J3015_1,46,api,500,1,46
J3015_1,46,api,500,2,46
J3015_1,46,api,500,3,46
J3015_1,46,api,500,4,46
J3015_1,46,api,500,5,46
J3015_1,46,api,1000,1,46
J3015_1,46,api,1000,2,46
J3015_1,46,api,1000,3,46
J3015_1,46,api,1000,4,46
J3015_1,46,api,1000,5,46
J3015_1,46,api,5000,1,46
J3015_1,46,api,5000,2,46
J3015_1,46,api,5000,3,46
J3015_1,46,api,5000,4,46
J3015_1,46,api,5000,5,46
J3016_1,51,swap,100,1,51
J3016_1,51,swap,100,2,51
J3016_1,51,swap,100,3,51
J3016_1,51,swap,100,4,51
J3016_1,51,swap,100,5,51
J3016_1,51,swap,500,1,51
J3016_1,51,swap,500,2,51
J3016_1,51,swap,500,3,51
J3016_1,51,swap,500,4,51
J3016_1,51,swap,500,5,51
J3016_1,51,swap,1000,1,51
J3016_1,51,swap,1000,2,51
J3016_1,51,swap,1000,3,51
J3016_1,51,swap,1000,4,51
J3016_1,51,swap,1000,5,51
J3016_1,51,swap,5000,1,51
J3016_1,51,swap,5000,2,51
J3016_1,51,swap,5000,3,51
J3016_1,51,swap,5000,4,51
J3016_1,51,swap,5000,5,51
J3016_1,51,api,100,1,51
J3016_1,51,api,100,2,51
J3016_1,51,api,100,3,51
J3016_1,51,api,100,4,51
J3016_1,51,api,100,5,51
J3016_1,51,api,500,1,51
J3016_1,51,api,500,2,51
J3016_1,51,api,500,3,51
J3016_1,51,api,500,4,51
J3016_1,51,api,500,5,51
J3016_1,51,api,1000,1,51
J3016_1,51,api,1000,2,51
J3016_1,51,api,1000,3,51
J3016_1,51,api,1000,4,51
J3016_1,51,api,1000,5,51
J3016_1,51,api,5000,1,51
J3016_1,51,api,5000,2,51
J3016_1,51,api,5000,3,51
J3016_1,51,api,5000,4,51
J3016_1,51,api,5000,5,51
J3017_1,64,swap,100,1,64
J3017_1,64,swap,100,2,64
J3017_1,64,swap,100,3,64
J3017_1,64,swap,100,4,64
J3017_1,64,swap,100,5,64
J3017_1,64,swap,500,1,64
J3017_1,64,swap,500,2,64
J3017_1,64,swap,500,3,64
J3017_1,64,swap,500,4,64
J3017_1,64,swap,500,5,64
J3017_1,64,swap,1000,1,64
J3017_1,64,swap,1000,2,64
J3017_1,64,swap,1000,3,64
J3017_1,64,swap,1000,4,64
J3017_1,64,swap,1000,5,64
J3017_1,64,swap,5000,1,64
J3017_1,64,swap,5000,2,64
J3017_1,64,swap,5000,3,64
J3017_1,64,swap,5000,4,64
J3017_1,64,swap,5000,5,64
J3017_1,64,api,100,1,66
J3017_1,64,api,100,2,66
J3017_1,64,api,100,3,66
J3017_1,64,api,100,4,66
J3017_1,64,api,100,5,66
J3017_1,64,api,500,1,64
J3017_1,64,api,500,2,66
J3017_1,64,api,500,3,64
J3017_1,64,api,500,4,64
J3017_1,64,api,500,5,64
