instance_nr,opt,nbh,time,seed,makespan
X14_1,85,swap,1000,4,93
X14_1,85,swap,1000,5,95
X14_1,85,swap,5000,1,91
X14_1,85,swap,5000,2,92
X14_1,85,swap,5000,3,92
X14_1,85,swap,5000,4,91
X14_1,85,swap,5000,5,91
X14_1,85,api,100,1,109
X14_1,85,api,100,2,110
X14_1,85,api,100,3,109
X14_1,85,api,100,4,109
X14_1,85,api,100,5,110
X14_1,85,api,500,1,104
X14_1,85,api,500,2,107
X14_1,85,api,500,3,105
X14_1,85,api,500,4,105
X14_1,85,api,500,5,110
X14_1,85,api,1000,1,107
X14_1,85,api,1000,2,104
X14_1,85,api,1000,3,104
X14_1,85,api,1000,4,103
X14_1,85,api,1000,5,103
X14_1,85,api,5000,1,98
X14_1,85,api,5000,2,99
X14_1,85,api,5000,3,98
X14_1,85,api,5000,4,98
X14_1,85,api,5000,5,98
X15_1,81,swap,100,1,81
X15_1,81,swap,100,2,85
X15_1,81,swap,100,3,83
X15_1,81,swap,100,4,86
X15_1,81,swap,100,5,84
X15_1,81,swap,500,1,81
X15_1,81,swap,500,2,81
X15_1,81,swap,500,3,81
X15_1,81,swap,500,4,81
X15_1,81,swap,500,5,81
X15_1,81,swap,1000,1,81
X15_1,81,swap,1000,2,81
X15_1,81,swap,1000,3,81
X15_1,81,swap,1000,4,81
X15_1,81,swap,1000,5,81
X15_1,81,swap,5000,1,81
X15_1,81,swap,5000,2,81
X15_1,81,swap,5000,3,81
X15_1,81,swap,5000,4,81
X15_1,81,swap,5000,5,81
X15_1,81,api,100,1,87
X15_1,81,api,100,2,87
X15_1,81,api,100,3,87
X15_1,81,api,100,4,88
X15_1,81,api,100,5,87
X15_1,81,api,500,1,87
X15_1,81,api,500,2,84
X15_1,81,api,500,3,83
X15_1,81,api,500,4,86
X15_1,81,api,500,5,84
X15_1,81,api,1000,1,87
X15_1,81,api,1000,2,82
X15_1,81,api,1000,3,82
X15_1,81,api,1000,4,85
X15_1,81,api,1000,5,83
X15_1,81,api,5000,1,81
X15_1,81,api,5000,2,81
X15_1,81,api,5000,3,82
X15_1,81,api,5000,4,82
X15_1,81,api,5000,5,81
X16_1,195,swap,100,1,233
X16_1,195,swap,100,2,233
X16_1,195,swap,100,3,231
X16_1,195,swap,100,4,230
X16_1,195,swap,100,5,232
X16_1,195,swap,500,1,227
X16_1,195,swap,500,2,217
X16_1,195,swap,500,3,225
X16_1,195,swap,500,4,228
X16_1,195,swap,500,5,218
X16_1,195,swap,1000,1,217
X16_1,195,swap,1000,2,218
X16_1,195,swap,1000,3,215
X16_1,195,swap,1000,4,221
X16_1,195,swap,1000,5,219
X16_1,195,swap,5000,1,216
X16_1,195,swap,5000,2,211
X16_1,195,swap,5000,3,212
X16_1,195,swap,5000,4,217
X16_1,195,swap,5000,5,215
X16_1,195,api,100,1,236
X16_1,195,api,100,2,232
X16_1,195,api,100,3,232
X16_1,195,api,100,4,235
X16_1,195,api,100,5,236
X16_1,195,api,500,1,230
X16_1,195,api,500,2,229
X16_1,195,api,500,3,224
X16_1,195,api,500,4,226
X16_1,195,api,500,5,228
X16_1,195,api,1000,1,227
X16_1,195,api,1000,2,225
X16_1,195,api,1000,3,223
X16_1,195,api,1000,4,223
X16_1,195,api,1000,5,222
X16_1,195,api,5000,1,220
X16_1,195,api,5000,2,221
X16_1,195,api,5000,3,216
X16_1,195,api,5000,4,221
X16_1,195,api,5000,5,215
X17_1,140,swap,100,1,164
X17_1,140,swap,100,2,162
X17_1,140,swap,100,3,163
X17_1,140,swap,100,4,165
X17_1,140,swap,100,5,164
X17_1,140,swap,500,1,156
X17_1,140,swap,500,2,162
X17_1,140,swap,500,3,153
X17_1,140,swap,500,4,155
X17_1,140,swap,500,5,158
X17_1,140,swap,1000,1,154
X17_1,140,swap,1000,2,158
X17_1,140,swap,1000,3,152
X17_1,140,swap,1000,4,156
X17_1,140,swap,1000,5,155
X17_1,140,swap,5000,1,154
X17_1,140,swap,5000,2,155
X17_1,140,swap,5000,3,155
X17_1,140,swap,5000,4,153
X17_1,140,swap,5000,5,150
X17_1,140,api,100,1,169
X17_1,140,api,100,2,166
X17_1,140,api,100,3,165
X17_1,140,api,100,4,169
X17_1,140,api,100,5,166
X17_1,140,api,500,1,163
X17_1,140,api,500,2,162
X17_1,140,api,500,3,163
X17_1,140,api,500,4,159
X17_1,140,api,500,5,163
X17_1,140,api,1000,1,160
X17_1,140,api,1000,2,157
X17_1,140,api,1000,3,160
X17_1,140,api,1000,4,160
X17_1,140,api,1000,5,161
