instance_nr,time,seed,makespan
J3010_1,100,1,43
J3010_1,100,2,42
J3010_1,100,3,42
J3010_1,100,4,42
J3010_1,100,5,42
J3010_1,500,1,42
J3010_1,500,2,42
J3010_1,500,3,42
J3010_1,500,4,42
J3010_1,500,5,42
J3010_1,1000,1,42
J3010_1,1000,2,42
J3010_1,1000,3,42
J3010_1,1000,4,42
J3010_1,1000,5,42
J3010_1,5000,1,42
J3010_1,5000,2,42
J3010_1,5000,3,42
J3010_1,5000,4,42
J3010_1,5000,5,42
J3011_1,100,1,55
J3011_1,100,2,54
J3011_1,100,3,55
J3011_1,100,4,54
J3011_1,100,5,55
J3011_1,500,1,54
J3011_1,500,2,55
J3011_1,500,3,54
J3011_1,500,4,54
J3011_1,500,5,54
J3011_1,1000,1,54
J3011_1,1000,2,54
J3011_1,1000,3,54
J3011_1,1000,4,54
J3011_1,1000,5,54
J3011_1,5000,1,54
J3011_1,5000,2,54
J3011_1,5000,3,54
J3011_1,5000,4,54
J3011_1,5000,5,54
J3012_1,100,1,47
J3012_1,100,2,47
J3012_1,100,3,47
J3012_1,100,4,47
J3012_1,100,5,47
J3012_1,500,1,47
J3012_1,500,2,47
J3012_1,500,3,47
J3012_1,500,4,47
J3012_1,500,5,47
J3012_1,1000,1,47
J3012_1,1000,2,47
J3012_1,1000,3,47
J3012_1,1000,4,47
J3012_1,1000,5,47
J3012_1,5000,1,47
J3012_1,5000,2,47
J3012_1,5000,3,47
J3012_1,5000,4,47
J3012_1,5000,5,47
J3013_1,100,1,61
J3013_1,100,2,62
J3013_1,100,3,59
J3013_1,100,4,61
J3013_1,100,5,62
J3013_1,500,1,60
J3013_1,500,2,61
J3013_1,500,3,61
J3013_1,500,4,59
J3013_1,500,5,59
J3013_1,1000,1,60
J3013_1,1000,2,59
J3013_1,1000,3,58
J3013_1,1000,4,60
J3013_1,1000,5,59
J3013_1,5000,1,58
J3013_1,5000,2,59
J3013_1,5000,3,58
J3013_1,5000,4,60
J3013_1,5000,5,59
J3014_1,100,1,51
J3014_1,100,2,50
J3014_1,100,3,50
J3014_1,100,4,51
J3014_1,100,5,50
J3014_1,500,1,50
J3014_1,500,2,50
J3014_1,500,3,50
J3014_1,500,4,50
J3014_1,500,5,50
J3014_1,1000,1,50
J3014_1,1000,2,50
J3014_1,1000,3,50
J3014_1,1000,4,50
J3014_1,1000,5,50
J3014_1,5000,1,50
J3014_1,5000,2,50
J3014_1,5000,3,50
J3014_1,5000,4,50
J3014_1,5000,5,50
J3015_1,100,1,46
J3015_1,100,2,46
J3015_1,100,3,46
J3015_1,100,4,46
J3015_1,100,5,46
J3015_1,500,1,46
J3015_1,500,2,46
J3015_1,500,3,46
J3015_1,500,4,46
J3015_1,500,5,46
J3015_1,1000,1,46
J3015_1,1000,2,46
J3015_1,1000,3,46
J3015_1,1000,4,46
J3015_1,1000,5,46
J3015_1,5000,1,46
J3015_1,5000,2,46
J3015_1,5000,3,46
J3015_1,5000,4,46
J3015_1,5000,5,46
J3016_1,100,1,51
J3016_1,100,2,51
J3016_1,100,3,51
J3016_1,100,4,51
J3016_1,100,5,51
J3016_1,500,1,51
J3016_1,500,2,51
J3016_1,500,3,51
J3016_1,500,4,51
J3016_1,500,5,51
J3016_1,1000,1,51
J3016_1,1000,2,51
J3016_1,1000,3,51
J3016_1,1000,4,51
J3016_1,1000,5,51
J3016_1,5000,1,51
J3016_1,5000,2,51
J3016_1,5000,3,51
J3016_1,5000,4,51
J3016_1,5000,5,51
J3017_1,100,1,64
J3017_1,100,2,64
J3017_1,100,3,66
J3017_1,100,4,64
J3017_1,100,5,64
J3017_1,500,1,64
J3017_1,500,2,64
J3017_1,500,3,64
J3017_1,500,4,64
J3017_1,500,5,64
J3017_1,1000,1,64
J3017_1,1000,2,64
J3017_1,1000,3,64
J3017_1,1000,4,64
J3017_1,1000,5,64
J3017_1,5000,1,64
J3017_1,5000,2,64
J3017_1,5000,3,64
J3017_1,5000,4,64
J3017_1,5000,5,64
J3018_1,100,1,53
J3018_1,100,2,53
J3018_1,100,3,53
J3018_1,100,4,53
J3018_1,100,5,53
J3018_1,500,1,53
J3018_1,500,2,53
J3018_1,500,3,53
J3018_1,500,4,53
J3018_1,500,5,53
J3018_1,1000,1,53
J3018_1,1000,2,53
J3018_1,1000,3,53
J3018_1,1000,4,53
J3018_1,1000,5,53
J3018_1,5000,1,53
J3018_1,5000,2,53
J3018_1,5000,3,53
J3018_1,5000,4,53
J3018_1,5000,5,53
J3019_1,100,1,40
J3019_1,100,2,40
J3019_1,100,3,40
J3019_1,100,4,40
J3019_1,100,5,40
J3019_1,500,1,40
J3019_1,500,2,40
J3019_1,500,3,40
J3019_1,500,4,40
J3019_1,500,5,40
J3019_1,1000,1,40
J3019_1,1000,2,40
J3019_1,1000,3,40
J3019_1,1000,4,40
J3019_1,1000,5,40
J3019_1,5000,1,40
J3019_1,5000,2,40
J3019_1,5000,3,40
J3019_1,5000,4,40
J3019_1,5000,5,40
J301_1,100,1,45
J301_1,100,2,43
J301_1,100,3,43
J301_1,100,4,43
J301_1,100,5,43
J301_1,500,1,43
J301_1,500,2,43
J301_1,500,3,43
J301_1,500,4,43
J301_1,500,5,43
J301_1,1000,1,43
J301_1,1000,2,43
J301_1,1000,3,43
J301_1,1000,4,43
J301_1,1000,5,43
J301_1,5000,1,43
J301_1,5000,2,43
J301_1,5000,3,43
J301_1,5000,4,43
J301_1,5000,5,43
J3020_1,100,1,57
J3020_1,100,2,57
J3020_1,100,3,57
J3020_1,100,4,57
J3020_1,100,5,57
J3020_1,500,1,57
J3020_1,500,2,57
J3020_1,500,3,57
J3020_1,500,4,57
J3020_1,500,5,57
J3020_1,1000,1,57
J3020_1,1000,2,57
J3020_1,1000,3,57
J3020_1,1000,4,57
J3020_1,1000,5,57
J3020_1,5000,1,57
J3020_1,5000,2,57
J3020_1,5000,3,57
J3020_1,5000,4,57
J3020_1,5000,5,57
J3021_1,100,1,89
J3021_1,100,2,86
J3021_1,100,3,86
J3021_1,100,4,89
J3021_1,100,5,86
J3021_1,500,1,85
J3021_1,500,2,84
J3021_1,500,3,85
J3021_1,500,4,84
J3021_1,500,5,84
J3021_1,1000,1,84
J3021_1,1000,2,84
J3021_1,1000,3,84
J3021_1,1000,4,86
J3021_1,1000,5,84
J3021_1,5000,1,84
J3021_1,5000,2,84
J3021_1,5000,3,84
J3021_1,5000,4,84
J3021_1,5000,5,84
J3022_1,100,1,43
J3022_1,100,2,42
J3022_1,100,3,42
J3022_1,100,4,42
J3022_1,100,5,42
J3022_1,500,1,42
J3022_1,500,2,42
J3022_1,500,3,42
J3022_1,500,4,42
J3022_1,500,5,42
J3022_1,1000,1,42
J3022_1,1000,2,42
J3022_1,1000,3,42
J3022_1,1000,4,42
J3022_1,1000,5,42
