instance_nr,time,seed,makespan
X10_1,100,1,112
X10_1,100,2,114
X10_1,100,3,111
X10_1,100,4,111
X10_1,100,5,112
X10_1,500,1,111
X10_1,500,2,111
X10_1,500,3,111
X10_1,500,4,111
X10_1,500,5,111
X10_1,1000,1,111
X10_1,1000,2,111
X10_1,1000,3,111
X10_1,1000,4,111
X10_1,1000,5,111
X10_1,5000,1,111
X10_1,5000,2,111
X10_1,5000,3,111
X10_1,5000,4,111
X10_1,5000,5,111
X11_1,100,1,203
X11_1,100,2,201
X11_1,100,3,202
X11_1,100,4,200
X11_1,100,5,203
X11_1,500,1,195
X11_1,500,2,201
X11_1,500,3,200
X11_1,500,4,196
X11_1,500,5,199
X11_1,1000,1,195
X11_1,1000,2,197
X11_1,1000,3,198
X11_1,1000,4,197
X11_1,1000,5,196
X11_1,5000,1,190
X11_1,5000,2,188
X11_1,5000,3,191
X11_1,5000,4,191
X11_1,5000,5,194
X12_1,100,1,164
X12_1,100,2,166
X12_1,100,3,161
X12_1,100,4,164
X12_1,100,5,160
X12_1,500,1,155
X12_1,500,2,161
X12_1,500,3,156
X12_1,500,4,159
X12_1,500,5,160
X12_1,1000,1,159
X12_1,1000,2,159
X12_1,1000,3,157
X12_1,1000,4,157
X12_1,1000,5,156
X12_1,5000,1,150
X12_1,5000,2,152
X12_1,5000,3,153
X12_1,5000,4,153
X12_1,5000,5,152
X13_1,100,1,148
X13_1,100,2,147
X13_1,100,3,146
X13_1,100,4,148
X13_1,100,5,146
X13_1,500,1,141
X13_1,500,2,143
X13_1,500,3,143
X13_1,500,4,144
X13_1,500,5,144
X13_1,1000,1,138
X13_1,1000,2,140
X13_1,1000,3,139
X13_1,1000,4,143
X13_1,1000,5,142
X13_1,5000,1,136
X13_1,5000,2,138
X13_1,5000,3,136
X13_1,5000,4,135
X13_1,5000,5,135
X14_1,100,1,101
X14_1,100,2,98
X14_1,100,3,106
X14_1,100,4,106
X14_1,100,5,103
X14_1,500,1,99
X14_1,500,2,95
X14_1,500,3,98
X14_1,500,4,103
X14_1,500,5,102
X14_1,1000,1,95
X14_1,1000,2,94
X14_1,1000,3,95
X14_1,1000,4,96
X14_1,1000,5,94
X14_1,5000,1,91
X14_1,5000,2,92
X14_1,5000,3,91
X14_1,5000,4,90
X14_1,5000,5,91
X15_1,100,1,82
X15_1,100,2,85
X15_1,100,3,85
X15_1,100,4,86
X15_1,100,5,87
X15_1,500,1,81
X15_1,500,2,81
X15_1,500,3,81
X15_1,500,4,81
X15_1,500,5,81
X15_1,1000,1,81
X15_1,1000,2,81
