instance_nr,opt,nbh,time,seed,makespan
J6010_1,85,swap,100,1,85
J6010_1,85,swap,100,2,85
J6010_1,85,swap,100,3,85
J6010_1,85,swap,100,4,85
J6010_1,85,swap,100,5,85
J6010_1,85,swap,500,1,85
J6010_1,85,swap,500,2,85
J6010_1,85,swap,500,3,85
J6010_1,85,swap,500,4,85
J6010_1,85,swap,500,5,85
J6010_1,85,swap,1000,1,85
J6010_1,85,swap,1000,2,85
J6010_1,85,swap,1000,3,85
J6010_1,85,swap,1000,4,85
J6010_1,85,swap,1000,5,85
J6010_1,85,swap,5000,1,85
J6010_1,85,swap,5000,2,85
J6010_1,85,swap,5000,3,85
J6010_1,85,swap,5000,4,85
J6010_1,85,swap,5000,5,85
J6010_1,85,api,100,1,86
J6010_1,85,api,100,2,88
J6010_1,85,api,100,3,86
J6010_1,85,api,100,4,86
J6010_1,85,api,100,5,85
J6010_1,85,api,500,1,85
J6010_1,85,api,500,2,85
J6010_1,85,api,500,3,85
J6010_1,85,api,500,4,85
J6010_1,85,api,500,5,85
J6010_1,85,api,1000,1,85
J6010_1,85,api,1000,2,85
J6010_1,85,api,1000,3,85
J6010_1,85,api,1000,4,85
J6010_1,85,api,1000,5,85
J6010_1,85,api,5000,1,85
J6010_1,85,api,5000,2,85
J6010_1,85,api,5000,3,85
J6010_1,85,api,5000,4,85
J6010_1,85,api,5000,5,85
J6011_1,71,swap,100,1,71
J6011_1,71,swap,100,2,71
J6011_1,71,swap,100,3,71
J6011_1,71,swap,100,4,71
J6011_1,71,swap,100,5,71
J6011_1,71,swap,500,1,71
J6011_1,71,swap,500,2,71
J6011_1,71,swap,500,3,71
J6011_1,71,swap,500,4,71
J6011_1,71,swap,500,5,71
J6011_1,71,swap,1000,1,71
J6011_1,71,swap,1000,2,71
J6011_1,71,swap,1000,3,71
J6011_1,71,swap,1000,4,71
J6011_1,71,swap,1000,5,71
J6011_1,71,swap,5000,1,71
J6011_1,71,swap,5000,2,71
J6011_1,71,swap,5000,3,71
J6011_1,71,swap,5000,4,71
J6011_1,71,swap,5000,5,71
J6011_1,71,api,100,1,71
J6011_1,71,api,100,2,71
J6011_1,71,api,100,3,71
J6011_1,71,api,100,4,71
J6011_1,71,api,100,5,71
J6011_1,71,api,500,1,71
J6011_1,71,api,500,2,71
J6011_1,71,api,500,3,71
J6011_1,71,api,500,4,71
J6011_1,71,api,500,5,71
J6011_1,71,api,1000,1,71
J6011_1,71,api,1000,2,71
J6011_1,71,api,1000,3,71
J6011_1,71,api,1000,4,71
J6011_1,71,api,1000,5,71
J6011_1,71,api,5000,1,71
J6011_1,71,api,5000,2,71
J6011_1,71,api,5000,3,71
J6011_1,71,api,5000,4,71
J6011_1,71,api,5000,5,71
J6012_1,59,swap,100,1,59
J6012_1,59,swap,100,2,59
J6012_1,59,swap,100,3,59
J6012_1,59,swap,100,4,59
J6012_1,59,swap,100,5,59
J6012_1,59,swap,500,1,59
J6012_1,59,swap,500,2,59
J6012_1,59,swap,500,3,59
J6012_1,59,swap,500,4,59
J6012_1,59,swap,500,5,59
J6012_1,59,swap,1000,1,59
J6012_1,59,swap,1000,2,59
J6012_1,59,swap,1000,3,59
J6012_1,59,swap,1000,4,59
J6012_1,59,swap,1000,5,59
J6012_1,59,swap,5000,1,59
J6012_1,59,swap,5000,2,59
J6012_1,59,swap,5000,3,59
J6012_1,59,swap,5000,4,59
J6012_1,59,swap,5000,5,59
J6012_1,59,api,100,1,59
J6012_1,59,api,100,2,59
J6012_1,59,api,100,3,59
J6012_1,59,api,100,4,59
J6012_1,59,api,100,5,59
J6012_1,59,api,500,1,59
J6012_1,59,api,500,2,59
J6012_1,59,api,500,3,59
J6012_1,59,api,500,4,59
J6012_1,59,api,500,5,59
J6012_1,59,api,1000,1,59
J6012_1,59,api,1000,2,59
J6012_1,59,api,1000,3,59
J6012_1,59,api,1000,4,59
J6012_1,59,api,1000,5,59
J6012_1,59,api,5000,1,59
