instance,bks,nbh,time,seed,makespan
X6_8,147,swap,60,8948803,157
X6_8,147,swap,60,9459607,158
X6_8,147,swap,60,40594335,157
X6_8,147,swap,60,41299189,158
X6_8,147,swap,60,55911072,159
X6_8,147,swap,60,59528639,160
X6_8,147,swap,60,61045676,157
X6_8,147,swap,60,81907177,159
X6_8,147,swap,60,84183543,156
X6_8,147,swap,60,85838798,155
X6_8,147,api,60,8948803,169
X6_8,147,api,60,9459607,169
X6_8,147,api,60,40594335,178
X6_8,147,api,60,41299189,171
X6_8,147,api,60,55911072,169
X6_8,147,api,60,59528639,171
X6_8,147,api,60,61045676,167
X6_8,147,api,60,81907177,171
X6_8,147,api,60,84183543,175
X6_8,147,api,60,85838798,171
X6_8,147,shift,60,8948803,162
X6_8,147,shift,60,9459607,163
X6_8,147,shift,60,40594335,164
X6_8,147,shift,60,41299189,161
X6_8,147,shift,60,55911072,164
X6_8,147,shift,60,59528639,164
X6_8,147,shift,60,61045676,163
X6_8,147,shift,60,81907177,167
X6_8,147,shift,60,84183543,164
X6_8,147,shift,60,85838798,160
X6_8,147,random,60,8948803,160
X6_8,147,random,60,9459607,162
X6_8,147,random,60,40594335,163
X6_8,147,random,60,41299189,159
X6_8,147,random,60,55911072,162
X6_8,147,random,60,59528639,159
X6_8,147,random,60,61045676,162
X6_8,147,random,60,81907177,165
X6_8,147,random,60,84183543,161
X6_8,147,random,60,85838798,166
X9_6,98,swap,60,8948803,99
X9_6,98,swap,60,9459607,98
X9_6,98,swap,60,40594335,99
X9_6,98,swap,60,41299189,99
X9_6,98,swap,60,55911072,98
X9_6,98,swap,60,59528639,98
X9_6,98,swap,60,61045676,99
X9_6,98,swap,60,81907177,98
X9_6,98,swap,60,84183543,99
X9_6,98,swap,60,85838798,100
X9_6,98,api,60,8948803,104
X9_6,98,api,60,9459607,100
X9_6,98,api,60,40594335,104
X9_6,98,api,60,41299189,103
X9_6,98,api,60,55911072,101
X9_6,98,api,60,59528639,104
X9_6,98,api,60,61045676,103
X9_6,98,api,60,81907177,103
X9_6,98,api,60,84183543,103
X9_6,98,api,60,85838798,103
X9_6,98,shift,60,8948803,101
X9_6,98,shift,60,9459607,101
X9_6,98,shift,60,40594335,98
X9_6,98,shift,60,41299189,101
X9_6,98,shift,60,55911072,99
X9_6,98,shift,60,59528639,99
X9_6,98,shift,60,61045676,98
X9_6,98,shift,60,81907177,100
X9_6,98,shift,60,84183543,99
X9_6,98,shift,60,85838798,100
X9_6,98,random,60,8948803,100
X9_6,98,random,60,9459607,100
X9_6,98,random,60,40594335,100
X9_6,98,random,60,41299189,99
X9_6,98,random,60,55911072,99
X9_6,98,random,60,59528639,99
X9_6,98,random,60,61045676,101
X9_6,98,random,60,81907177,102
X9_6,98,random,60,84183543,102
X9_6,98,random,60,85838798,100
X10_9,77,swap,60,8948803,77
X10_9,77,swap,60,9459607,77
X10_9,77,swap,60,40594335,77
X10_9,77,swap,60,41299189,77
X10_9,77,swap,60,55911072,77
X10_9,77,swap,60,59528639,77
X10_9,77,swap,60,61045676,77
X10_9,77,swap,60,81907177,77
X10_9,77,swap,60,84183543,77
X10_9,77,swap,60,85838798,77
X10_9,77,api,60,8948803,77
X10_9,77,api,60,9459607,77
X10_9,77,api,60,40594335,77
X10_9,77,api,60,41299189,77
X10_9,77,api,60,55911072,77
X10_9,77,api,60,59528639,77
X10_9,77,api,60,61045676,77
X10_9,77,api,60,81907177,77
X10_9,77,api,60,84183543,77
X10_9,77,api,60,85838798,77
X10_9,77,shift,60,8948803,77
X10_9,77,shift,60,9459607,77
X10_9,77,shift,60,40594335,77
X10_9,77,shift,60,41299189,77
X10_9,77,shift,60,55911072,77
X10_9,77,shift,60,59528639,77
X10_9,77,shift,60,61045676,77
X10_9,77,shift,60,81907177,77
X10_9,77,shift,60,84183543,77
X10_9,77,shift,60,85838798,77
X10_9,77,random,60,8948803,77
X10_9,77,random,60,9459607,77
X10_9,77,random,60,40594335,77
X10_9,77,random,60,41299189,77
X10_9,77,random,60,55911072,77
X10_9,77,random,60,59528639,77
X10_9,77,random,60,61045676,77
X10_9,77,random,60,81907177,77
X10_9,77,random,60,84183543,77
X10_9,77,random,60,85838798,77
X27_6,145,swap,60,8948803,155
X27_6,145,swap,60,9459607,157
X27_6,145,swap,60,40594335,151
X27_6,145,swap,60,41299189,152
X27_6,145,swap,60,55911072,152
X27_6,145,swap,60,59528639,153
X27_6,145,swap,60,61045676,154
X27_6,145,swap,60,81907177,154
X27_6,145,swap,60,84183543,151
X27_6,145,swap,60,85838798,155
X27_6,145,api,60,8948803,159
X27_6,145,api,60,9459607,165
X27_6,145,api,60,40594335,161
X27_6,145,api,60,41299189,158
X27_6,145,api,60,55911072,162
X27_6,145,api,60,59528639,156
X27_6,145,api,60,61045676,157
X27_6,145,api,60,81907177,160
X27_6,145,api,60,84183543,161
X27_6,145,api,60,85838798,163
X27_6,145,shift,60,8948803,157
X27_6,145,shift,60,9459607,157
X27_6,145,shift,60,40594335,154
X27_6,145,shift,60,41299189,156
X27_6,145,shift,60,55911072,157
X27_6,145,shift,60,59528639,156
X27_6,145,shift,60,61045676,158
X27_6,145,shift,60,81907177,158
X27_6,145,shift,60,84183543,154
X27_6,145,shift,60,85838798,155
X27_6,145,random,60,8948803,158
X27_6,145,random,60,9459607,159
X27_6,145,random,60,40594335,159
X27_6,145,random,60,41299189,156
X27_6,145,random,60,55911072,155
X27_6,145,random,60,59528639,157
X27_6,145,random,60,61045676,160
X27_6,145,random,60,81907177,156
X27_6,145,random,60,84183543,158
X27_6,145,random,60,85838798,161
X30_8,79,swap,60,8948803,79
X30_8,79,swap,60,9459607,79
X30_8,79,swap,60,40594335,79
X30_8,79,swap,60,41299189,79
X30_8,79,swap,60,55911072,79
X30_8,79,swap,60,59528639,79
X30_8,79,swap,60,61045676,79
X30_8,79,swap,60,81907177,79
X30_8,79,swap,60,84183543,79
X30_8,79,swap,60,85838798,79
X30_8,79,api,60,8948803,79
X30_8,79,api,60,9459607,79
X30_8,79,api,60,40594335,79
X30_8,79,api,60,41299189,79
X30_8,79,api,60,55911072,79
X30_8,79,api,60,59528639,79
X30_8,79,api,60,61045676,79
X30_8,79,api,60,81907177,79
X30_8,79,api,60,84183543,79
X30_8,79,api,60,85838798,79
X30_8,79,shift,60,8948803,79
X30_8,79,shift,60,9459607,79
X30_8,79,shift,60,40594335,79
X30_8,79,shift,60,41299189,79
X30_8,79,shift,60,55911072,79
X30_8,79,shift,60,59528639,79
X30_8,79,shift,60,61045676,79
X30_8,79,shift,60,81907177,79
X30_8,79,shift,60,84183543,79
X30_8,79,shift,60,85838798,79
X30_8,79,random,60,8948803,79
X30_8,79,random,60,9459607,79
X30_8,79,random,60,40594335,79
X30_8,79,random,60,41299189,79
X30_8,79,random,60,55911072,79
X30_8,79,random,60,59528639,79
X30_8,79,random,60,61045676,79
X30_8,79,random,60,81907177,79
X30_8,79,random,60,84183543,79
X30_8,79,random,60,85838798,79
X42_7,123,swap,60,8948803,123
X42_7,123,swap,60,9459607,123
X42_7,123,swap,60,40594335,123
X42_7,123,swap,60,41299189,123
X42_7,123,swap,60,55911072,123
X42_7,123,swap,60,59528639,123
X42_7,123,swap,60,61045676,123
X42_7,123,swap,60,81907177,123
X42_7,123,swap,60,84183543,123
X42_7,123,swap,60,85838798,123
X42_7,123,api,60,8948803,125
X42_7,123,api,60,9459607,126
X42_7,123,api,60,40594335,124
X42_7,123,api,60,41299189,126
X42_7,123,api,60,55911072,123
X42_7,123,api,60,59528639,123
X42_7,123,api,60,61045676,123
X42_7,123,api,60,81907177,132
X42_7,123,api,60,84183543,127
X42_7,123,api,60,85838798,124
X42_7,123,shift,60,8948803,123
X42_7,123,shift,60,9459607,123
X42_7,123,shift,60,40594335,123
X42_7,123,shift,60,41299189,123
X42_7,123,shift,60,55911072,123
X42_7,123,shift,60,59528639,123
X42_7,123,shift,60,61045676,123
X42_7,123,shift,60,81907177,123
X42_7,123,shift,60,84183543,123
X42_7,123,shift,60,85838798,123
X42_7,123,random,60,8948803,123
X42_7,123,random,60,9459607,123
X42_7,123,random,60,40594335,123
X42_7,123,random,60,41299189,123
X42_7,123,random,60,55911072,123
X42_7,123,random,60,59528639,124
X42_7,123,random,60,61045676,123
X42_7,123,random,60,81907177,123
X42_7,123,random,60,84183543,123
X42_7,123,random,60,85838798,123
X51_6,214,swap,60,8948803,225
X51_6,214,swap,60,9459607,225
X51_6,214,swap,60,40594335,227
X51_6,214,swap,60,41299189,224
X51_6,214,swap,60,55911072,225
X51_6,214,swap,60,59528639,231
X51_6,214,swap,60,61045676,227
X51_6,214,swap,60,81907177,222
X51_6,214,swap,60,84183543,225
X51_6,214,swap,60,85838798,223
X51_6,214,api,60,8948803,241
X51_6,214,api,60,9459607,237
X51_6,214,api,60,40594335,238
X51_6,214,api,60,41299189,247
X51_6,214,api,60,55911072,237
X51_6,214,api,60,59528639,237
X51_6,214,api,60,61045676,249
X51_6,214,api,60,81907177,239
X51_6,214,api,60,84183543,239
X51_6,214,api,60,85838798,238
X51_6,214,shift,60,8948803,236
X51_6,214,shift,60,9459607,235
X51_6,214,shift,60,40594335,231
X51_6,214,shift,60,41299189,230
X51_6,214,shift,60,55911072,236
X51_6,214,shift,60,59528639,230
X51_6,214,shift,60,61045676,232
X51_6,214,shift,60,81907177,233
X51_6,214,shift,60,84183543,227
X51_6,214,shift,60,85838798,230
X51_6,214,random,60,8948803,241
X51_6,214,random,60,9459607,230
X51_6,214,random,60,40594335,231
X51_6,214,random,60,41299189,232
X51_6,214,random,60,55911072,230
X51_6,214,random,60,59528639,240
X51_6,214,random,60,61045676,232
X51_6,214,random,60,81907177,232
X51_6,214,random,60,84183543,238
X51_6,214,random,60,85838798,231
X55_10,100,swap,60,8948803,100
X55_10,100,swap,60,9459607,100
X55_10,100,swap,60,40594335,100
X55_10,100,swap,60,41299189,100
X55_10,100,swap,60,55911072,100
X55_10,100,swap,60,59528639,100
X55_10,100,swap,60,61045676,100
X55_10,100,swap,60,81907177,100
X55_10,100,swap,60,84183543,100
X55_10,100,swap,60,85838798,100
X55_10,100,api,60,8948803,100
X55_10,100,api,60,9459607,100
X55_10,100,api,60,40594335,100
X55_10,100,api,60,41299189,100
X55_10,100,api,60,55911072,100
X55_10,100,api,60,59528639,101
X55_10,100,api,60,61045676,100
X55_10,100,api,60,81907177,100
X55_10,100,api,60,84183543,100
X55_10,100,api,60,85838798,100
X55_10,100,shift,60,8948803,100
X55_10,100,shift,60,9459607,100
X55_10,100,shift,60,40594335,100
X55_10,100,shift,60,41299189,100
X55_10,100,shift,60,55911072,100
X55_10,100,shift,60,59528639,100
X55_10,100,shift,60,61045676,100
X55_10,100,shift,60,81907177,100
X55_10,100,shift,60,84183543,100
X55_10,100,shift,60,85838798,100
X55_10,100,random,60,8948803,100
X55_10,100,random,60,9459607,100
X55_10,100,random,60,40594335,100
X55_10,100,random,60,41299189,100
X55_10,100,random,60,55911072,100
X55_10,100,random,60,59528639,100
X55_10,100,random,60,61045676,100
X55_10,100,random,60,81907177,100
X55_10,100,random,60,84183543,100
X55_10,100,random,60,85838798,100
X58_3,120,swap,60,8948803,125
X58_3,120,swap,60,9459607,126
X58_3,120,swap,60,40594335,126
X58_3,120,swap,60,41299189,125
X58_3,120,swap,60,55911072,126
X58_3,120,swap,60,59528639,125
X58_3,120,swap,60,61045676,126
X58_3,120,swap,60,81907177,124
X58_3,120,swap,60,84183543,125
X58_3,120,swap,60,85838798,125
X58_3,120,api,60,8948803,127
X58_3,120,api,60,9459607,126
X58_3,120,api,60,40594335,128
X58_3,120,api,60,41299189,127
X58_3,120,api,60,55911072,128
X58_3,120,api,60,59528639,128
X58_3,120,api,60,61045676,129
X58_3,120,api,60,81907177,128
X58_3,120,api,60,84183543,127
X58_3,120,api,60,85838798,128
X58_3,120,shift,60,8948803,127
X58_3,120,shift,60,9459607,126
X58_3,120,shift,60,40594335,125
X58_3,120,shift,60,41299189,126
X58_3,120,shift,60,55911072,127
X58_3,120,shift,60,59528639,127
X58_3,120,shift,60,61045676,127
X58_3,120,shift,60,81907177,126
X58_3,120,shift,60,84183543,127
X58_3,120,shift,60,85838798,126
X58_3,120,random,60,8948803,126
X58_3,120,random,60,9459607,128
X58_3,120,random,60,40594335,124
X58_3,120,random,60,41299189,127
X58_3,120,random,60,55911072,126
X58_3,120,random,60,59528639,127
X58_3,120,random,60,61045676,128
X58_3,120,random,60,81907177,127
X58_3,120,random,60,84183543,127
X58_3,120,random,60,85838798,125
X59_3,108,swap,60,8948803,110
X59_3,108,swap,60,9459607,111
X59_3,108,swap,60,40594335,110
X59_3,108,swap,60,41299189,111
X59_3,108,swap,60,55911072,110
X59_3,108,swap,60,59528639,110
X59_3,108,swap,60,61045676,112
X59_3,108,swap,60,81907177,111
X59_3,108,swap,60,84183543,111
X59_3,108,swap,60,85838798,111
X59_3,108,api,60,8948803,112
X59_3,108,api,60,9459607,118
X59_3,108,api,60,40594335,115
X59_3,108,api,60,41299189,113
X59_3,108,api,60,55911072,114
X59_3,108,api,60,59528639,114
X59_3,108,api,60,61045676,114
X59_3,108,api,60,81907177,111
X59_3,108,api,60,84183543,112
X59_3,108,api,60,85838798,113
X59_3,108,shift,60,8948803,111
X59_3,108,shift,60,9459607,110
X59_3,108,shift,60,40594335,111
X59_3,108,shift,60,41299189,110
X59_3,108,shift,60,55911072,110
X59_3,108,shift,60,59528639,110
X59_3,108,shift,60,61045676,110
X59_3,108,shift,60,81907177,110
X59_3,108,shift,60,84183543,110
X59_3,108,shift,60,85838798,110
X59_3,108,random,60,8948803,110
X59_3,108,random,60,9459607,110
X59_3,108,random,60,40594335,111
X59_3,108,random,60,41299189,111
X59_3,108,random,60,55911072,111
X59_3,108,random,60,59528639,111
X59_3,108,random,60,61045676,111
X59_3,108,random,60,81907177,111
X59_3,108,random,60,84183543,111
X59_3,108,random,60,85838798,110
